coalition,country/ies,faction,name,otanId,pactId
EURO,FR|RFA,OTAN,#FRA #RFA EUROCORPS,,
YUGVAK,DAN|NK,PACT,#DAN #NK AXIS OF EVIL,,
US,US,OTAN,#US UNITED STATES,0,
CAN,CAN,OTAN,#CAN CANADA,4,
POL,POL,OTAN,#POL POLAND,14,
SA,SA,OTAN,#SA SOUTH AFRICA,12,
REDFOR,YUG|NK|RDA|DAN|CHI|POL|FIN|TCH|URSS,PACT,#PACT REDFOR,,
YUG,YUG,PACT,#YUG YUGOSLAVIA,,2
RDA,RDA,PACT,#RDA EAST-GERMANY,,3
FR,FR,OTAN,#FRA FRANCE,2,
HOL,HOL,OTAN,#HOL NETHERLANDS,10,
CHI,CHI,PACT,#CHI CHINA,,7
SWE,SWE,OTAN,#SWE SWEDEN,5,
ISR,ISR,OTAN,#ISR ISRAEL,11,
JAP,JAP,OTAN,#JAP JAPAN,8,
RFA,RFA,OTAN,#RFA GERMANY,3,
FIN,FIN,OTAN|PACT,#FIN INDIA,13,1
TCH,TCH,PACT,#CZ ALGERIA (Coming soon),,6
NK,NK,PACT,#NK NORTH KOREA,,8
DAN,DAN,PACT,#DAN IRAN,,0
ANZ,ANZ,OTAN,#ANZ ANZAC,7,
REDDRAG,NK|CHI,PACT,#CHI #NK RED DRAGONS,,
NOR,NOR,OTAN,#NOR NORWAY,6,
FINPOL,URSS|NK,PACT,#URSS #NK RUSSO-KOREAN ALLIANCE,,
ROK,ROK,OTAN,#ROK SOUTH KOREA,9,
URSS,URSS,PACT,#URSS RUSSIA,,4
UK,UK,OTAN,#UK UNITED KINGDOM,1,
