HP,altitude,armors,autonomy,avail,cost,country,damageToStun,ecmModifier,fuelCapacity,inst_num,isAmphibious,isCV,isPrototype,isTransport,maxCards,maxSpeed,movementType,name,numWeapons,opticRangeAirborne_vsGround,opticRange_vsGround,opticRange_vsHeli,opticRange_vsPlane,opticRange_vsShip,opticStrengthSEAD_vsGround,opticStrength_vsAir,opticStrength_vsGround,opticStrength_vsShip,otanId,pactId,purple,roadSpeed,sailingSubType,sizeModifier,specs,stealth,tab,training,transporterOf,transports,turnData,upgradeRequireId,upgrades,verticalSpeed,weapon10_TAmmunition_ID,weapon10_ammoPool,weapon10_hasStab,weapon10_totalAmmo,weapon10_turret,weapon10_turretArc,weapon10_turretFacing,weapon10_turretSpeed,weapon10_turretType,weapon10_uiPosition,weapon1_TAmmunition_ID,weapon1_ammoPool,weapon1_hasStab,weapon1_totalAmmo,weapon1_turret,weapon1_turretArc,weapon1_turretFacing,weapon1_turretSpeed,weapon1_turretType,weapon1_uiPosition,weapon2_TAmmunition_ID,weapon2_ammoPool,weapon2_hasStab,weapon2_totalAmmo,weapon2_turret,weapon2_turretArc,weapon2_turretFacing,weapon2_turretSpeed,weapon2_turretType,weapon2_uiPosition,weapon3_TAmmunition_ID,weapon3_ammoPool,weapon3_hasStab,weapon3_totalAmmo,weapon3_turret,weapon3_turretArc,weapon3_turretFacing,weapon3_turretSpeed,weapon3_turretType,weapon3_uiPosition,weapon4_TAmmunition_ID,weapon4_ammoPool,weapon4_hasStab,weapon4_totalAmmo,weapon4_turret,weapon4_turretArc,weapon4_turretFacing,weapon4_turretSpeed,weapon4_turretType,weapon4_uiPosition,weapon5_TAmmunition_ID,weapon5_ammoPool,weapon5_hasStab,weapon5_totalAmmo,weapon5_turret,weapon5_turretArc,weapon5_turretFacing,weapon5_turretSpeed,weapon5_turretType,weapon5_uiPosition,weapon6_TAmmunition_ID,weapon6_ammoPool,weapon6_hasStab,weapon6_totalAmmo,weapon6_turret,weapon6_turretArc,weapon6_turretFacing,weapon6_turretSpeed,weapon6_turretType,weapon6_uiPosition,weapon7_TAmmunition_ID,weapon7_ammoPool,weapon7_hasStab,weapon7_totalAmmo,weapon7_turret,weapon7_turretArc,weapon7_turretFacing,weapon7_turretSpeed,weapon7_turretType,weapon7_uiPosition,weapon8_TAmmunition_ID,weapon8_ammoPool,weapon8_hasStab,weapon8_totalAmmo,weapon8_turret,weapon8_turretArc,weapon8_turretFacing,weapon8_turretSpeed,weapon8_turretType,weapon8_uiPosition,weapon9_TAmmunition_ID,weapon9_ammoPool,weapon9_hasStab,weapon9_totalAmmo,weapon9_turret,weapon9_turretArc,weapon9_turretFacing,weapon9_turretSpeed,weapon9_turretType,weapon9_uiPosition,year
10,,2|2|1|1,600,14|11|8|6|4,35,URSS,300,,500,17818,true,,true,true,2,65,tracked,BMP-2M,4,,3500,4900,5600,14000,,40,80,80,,48,,110,,,ARM|MEC,1,VHC,,18539|17712,,171.89,17814,,,,,,,,,,,,,121523,2,true,4,0,360|45|-10,,150,turret,2,78148,0,true,68,0,360|45|-10,,150,turret,0,78149,0,true,68,0,360|45|-10,,150,turret,0,78160,1,true,80,1,360|25|-10,,80,turret,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986
10,,5|3|2|2,600,14|12|8|6|4,40,CHI,300,,500,19177,,,true,true,3,75,tracked,ZBD-04A,4,,3500,4900,5600,14000,,40,80,80,,409,,110,,,ARM|MEC,1,VHC,,17936|17931|17942|19091|17935|17939|17946|17937|17943,,171.89,19008,,,,,,,,,,,,,78236,0,true,23,0,360|25|-10,,50,turret,0,122297,1,true,8,0,360|25|-10,,50,turret,1,78237,2,true,68,1,360|25|-10,,50,turret,2,78238,2,true,68,1,360|25|-10,,50,turret,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990
10,,18|7|4|4,460,0|7|5|0|0,110,US,300,,1500,18392,,,,,2,75,tracked,M1A1[HC] ABRAMS,4,,3500,4900,5600,14000,,20,80,80,319,,,110,,0.05,ARM|MAR|MEC|SUP,1,TNK,,,19251,286.48,18387,18391,,,,,,,,,,,,121223,0,true,40,0,360|25|-10,,40,turret,0,121225,0,true,40,0,360|25|-10,,40,turret,0,77688,1,true,100,1,360|45|-10,,150,turret,1,77921,2,true,150,2,360|45|-10,,150,turret,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
10,,2|1|1|1,800,0|4|0|0|0,45,RFA,300,,390,19112,,,,,2,95,wheeled,TPz FUCHS RASIT #reco3,1,,4200,4900,5600,14000,,60,260,280,531,,,150,,,MAR|MEC|MOT|SUP,1.5,REC,,,19251,171.89,18059,18690,,,,,,,,,,,,79001,0,true,200,0,360|45|-10,,150,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987
10,,0.4|0.4|0.4|0.4,,0|0|0|4|3,30,FIN,300,,,18032,,,true,,2,45,foot,SPECIAL GROUP #reco2,4,,3500,4900,5600,14000,,40,170,170,1185,863,true,,,-0.2,AIR|MOT,2.5,REC,Elite,,19175|19150|19153|19485|19433|19411,,,,,,,,,,,,,,,124052,0,true,160,0,,,,infantry,0,124054,0,true,160,0,,,,infantry,0,124042,1,,8,1,,,,infantry,1,124044,2,true,240,1,,,,infantry,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
10,,1|1|0.8|0.8,450,16|12|8|6|4,50,URSS,300,,1200,19408,,,,true,3,330,heli,Mi-24D,2,4900,3500,5600,5600,14000,,80,60,60,,487,,,,0.05,AIR|ARM|MAR|MEC|MOT|SUP,1,HEL,,19089|18862|18736|18861|18860,,,,19410,50,,,,,,,,,,,120996,1,true,96,0,220|10|-75,,120,turret,1,86197,2,true,80,1,20|20|-15,,,fixed,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970
10,500,2|1|2|1,135,0|2|0|1|0,130,NK,300,-0.1,4500,19532,,,true,,1,750,plane,Su-25UBK,4,4900,3500,4900,31500,7000,,150,,60,,533,,,,,AIR|ARM|MEC|MOT|SUP,1,AIR,,,,200,19760,,,,,,,,,,,,,88290,0,true,50,0,16|8|-5,,,fixed,0,88291,0,true,50,0,16|8|-5,,,fixed,0,123013,2,true,12,1,,,,bomber,2,123000,3,true,2,2,80|30|-30,,,fixed,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
10,,1|1|1|1,750,0|12|0|0|0,10,FIN,300,,300,18535,true,,,,2,80,wheeled,BRDM-2 #reco1,2,,3500,4900,5600,14000,,40,120,120,1141,819,true,150,,-0.05,AIR|ARM|MOT|SUP,1.5,REC,,,,114.59,,18923,,,,,,,,,,,,78067,0,true,60,0,360|45|-10,,150,turret,0,78068,0,true,60,0,360|45|-10,,150,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986
10,,3|2|1|1,800,24|20|16|12|8,10,ROK,300,,220,18212,true,,true,true,2,100,wheeled,K808 BAEKHO,1,,3500,4900,5600,14000,,20,60,60,849,,,150,,,MAR|MOT|SUP,1,VHC,,18710|17929|18709|18711|18704|18696|18699|18697|18712|18707|18705|18708|18698|18706,19251,171.89,18211,,,,,,,,,,,,,123536,0,true,200,0,360|45|-10,,150,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977
10,,9|4|2|2,500,0|3|2|0|0,105,CHI,300,,960,19020,,,true,,1,80,tracked,ZTQ-15 #reco2,4,,3500,4900,5600,14000,,40,170,170,,346,,110,,,AIR|ARM|MAR|MEC|MOT,1.5,REC,,,19272,286.48,19022,,,,,,,,,,,,,84391,0,true,38,0,360|25|-10,,50,turret,0,84392,0,true,38,0,360|25|-10,,50,turret,0,78090,1,true,80,1,360|45|-10,,150,turret,1,121544,2,true,66,2,360|45|-10,,150,turret,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995
