AP,HE,accuracy,aimTime,caliber,corrShotMultiplier,dispersionAngle,dispersionMax,dispersionMin,inst_num,isCluster,isFireAndForget,isHEAT,isKE,isMissile,isNapalm,isRadar,isSEAD,isSmoke,loadType,maxrangeDef,maxrangeGround,maxrangeHeli,maxrangePlane,maxrangeShip,minrangeDef,minrangeGround,minrangeHeli,minrangePlane,minrangeShip,missileAcceleration,missileCorrInterval,missileSpeedMax,muzzleVelocity,name,noiseMalus,radiusDamage,radiusNapalm,radiusSmoke,radiusSuppress,salvoLength,salvoReload,salvoVisAmmo,shotReload,simultShots,stabilizer,supplyPerShot,suppress,typeArme
,35,,,HE Bomb,,5.73,,,122488,,,,,,,,,,,,,,,,,,,,,,,,1057.69,VBIED,1.7,250,,,500,1,60,1,1,1,,197,600,Howitzer
,5,,6,120mm,,0.06,105,105,123584,,,,,,,,,,,,7700,,,7700,,840,,,840,,,,826.92,Bigyeok,1.8,60,,,180,3,10,3,4,1,,105,265,Mortar
,4,0.65,1.4,125mm,,0.29,,,84115,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46M4 [Auto],2.25,47,,,156.5,24,6.6,24,6.6,1,0.5,600,144,Main Gun
1,1,0.95,2,8.6mm,,0.57,,,123248,,,,true,,,,,,,,1400,,,1400,,87,,,87,,,,3461.54,AWM,1.4,2.5,,,16,1,4,1,4,1,0.2,12,80,Sniper Rifle
,0.5,0.4,2,5.8mm,,0.57,,,121591,,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,QJS-161,2.25,2.5,,,50,20,5,200,0.8,1,0.2,20,40,SAW
,9,0.6,0.2,Radar,,0.57,,,123373,,,,,true,,true,,,,,,2800,4550,,,,,,,2000,10,15000,2000,KN-06,2,315,,,630,3,30,3,1,1,0.6,756,360,SAM
,0.5,0.3,2,7.62mm,,0.57,,,123263,,,,,,,,,,,,875,595,,875,,,,,,,,,3461.54,K16,2.25,3,,,50,10,5,100,1,1,0.15,10,55,SAW
2,1,0.4,1,20mm,,0.57,,,85923,,,,true,,,,,,,,1575,,,1575,,,,,,,,,3461.54,M621,1.4,7.5,,,25,2,0.8,15,0.4,1,0.3,15,40,Autocannon
,6,0.7,1,MMW,,0.57,,,122328,,true,,,true,,,,,,,,2800,2240,,,,,,,1000,10,5000,1000,AGM-114L [HOLD],2,210,,,420,2,4,2,3,1,0.5,600,240,ATGM
,1,0.6,0.6,5.56mm,,0.57,,,82802,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,K2C1,1.556,2.5,,,10,6,4.5,60,2.2,1,0.6,6,40,Assault Rifles
,1,0.35,,20mm Radar,,0.11,,,120600,,,,,,,true,,,,2275,1050,2275,1225,1050,,,,,,,,,3461.54,Phalanx Block 1B,5.6,15,,,65,10,4,300,0.3,1,0.35,10,,CIWS
,7,,10,155mm,,0.06,175,175,77805,,,,,,,,,,,,23800,,,23800,,2380,,,2380,,,,1057.69,GCT F1 [10s],2.03,155,,,310,6,30,6,7.5,1,,505,357,Howitzer
15,1,0.7,1,120mm,,0.29,,,82421,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,BWK120 [Auto],2.2,2.5,,,300,30,6,30,6,1,0.05,750,138,Main Gun
22,1,0.75,1,120mm,,0.29,,,80751,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,L/55,2.2,2.5,,,300,1,6.6,1,1,1,0.7,25,138,Main Gun
11,1,0.65,0.1,MMW,,0.74,,,123667,true,true,true,,true,,,,,,,875,,,875,,,,,,1000,10,1200,1000,NLAW,2,5,,,400,1,3,1,1,1,0.05,75,150,ATGM
,3,0.75,1.4,120mm,,0.29,,,80752,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,L/55,2.2,45,,,150,1,6.6,1,1,1,0.7,25,138,Main Gun
16,1,0.5,1,152mm,,0.29,,,77519,,,true,,,,,,,,,1925,,,1925,,,,,,,,,3461.54,2A33,2.52,2.5,,,380,1,10,1,1,1,0.4,30,175,Main Gun
,1,0.6,0.2,5.56mm,,0.57,,,84679,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,L85A2,1.556,2.5,,,10,8,3,80,1.5,1,0.4,8,40,Assault Rifles
,0.5,0.3,1,7.62mm,,0.57,,,124103,,,,,,,,,,,,875,525,,875,,,,,,,,,3461.54,MG 6A [RWS],1.762,3,,,10,10,2,100,0.8,1,0.15,10,55,MMG
,1,0.3,1,7.62mm,,0.57,,,79641,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,AK-47,1.762,3,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
13,1,0.5,1,125mm,,0.29,,,123922,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46 [Auto],2.25,2.5,,,312.5,24,7.5,24,7.5,1,0.35,600,144,Main Gun
,,,5,155mm,,0.06,210,210,122384,,,,,,,,,true,,,29750,,,29750,,2975,,,2975,,,,1057.69,HM44 [10s],2.03,155,,175,310,6,15,6,6,1,,505,,Howitzer
,,,5,227mm,1,0.06,700,175,122108,,,,,,,,,true,,,42000,,,42000,,8400,,,8400,,,,1057.69,M31A2 [10s],2.51,272,,250,272,6,100.69,6,2,1,,510,,MLRS
24,1,0.6,,105mm HEAT,,0.86,,,122164,,,true,,,,,,,,,875,,,875,,,,,,,,,769.23,RPG-29 Qadir,3.1,2.5,,,262.5,1,6,1,1,1,0.05,10,420,LAW
,1,0.3,,20mm,,0.11,,,85501,,,,,,,,,,,,1575,2275,1575,1575,,,,,,,,,3461.54,F2,4.8,7.5,,,65,10,6,100,1,1,0.1,50,,Naval Auto-cannon
,5,0.6,0.2,Radar,,0.57,,,88551,,true,,,true,,true,,,,,,,6300,,,,,700,,2000,10,15000,2000,MICA EM,2,175,,,350,1,2,1,2,1,0.6,1000,200,AAM
,2,0.7,,110mm,,0.86,,,123619,,,,,,,,,,,,700,,,700,,,,,,,,,769.23,Bunkerfaust,3.1,31.5,,,105,1,4,1,1,1,0.05,10,50,LAW
,1,0.8,0.2,5.56mm,,0.57,,,121786,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,G36KA4,1.556,2.5,,,10,8,3,80,1.3,1,0.8,8,40,Assault Rifles
,1,0.6,1,30mm,,0.57,,,121245,,,,,,,,,,,,1750,1575,,1750,,,,,,,,,3461.54,M230LP,1.6,11.5,,,37.5,2,1.6,15,1.2,1,0.5,15,60,Autocannon
,3,0.5,1.4,105mm,,0.29,,,77716,,,,,,,,,,,,2100,,,2100,,,,,,,,,2692.31,MECA L/48,2.05,39.5,,,131.5,1,6.6,1,1,1,0.35,20,121,Main Gun
16,1,0.5,1,155mm,,0.29,,,77910,,,,true,,,,,,,,1925,,,1925,,,,,,,,,3461.54,L31,2.55,2.5,,,387.5,1,7.5,1,1,1,0.4,30,179,Main Gun
16,1,0.7,2,SALH,,0.63,,,123549,true,,true,,true,,,,,,,2975,,,2975,,175,,,175,1000,10,1400,1000,Spike NLOS,2,5,,,400,1,1,1,1,1,0.6,268,150,ATGM
,1,0.6,0.6,5.45mm,,0.57,,,121595,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,QBZ-192,1.58,2.5,,,10,6,4.5,60,2,1,0.6,6,40,Assault Rifles
,5,0.35,1.4,122mm,,0.29,,,123330,,,,,,,,,,,,2450,,,2450,,,,,,,,,2692.31,D-30,2.2,45,,,150,1,8.5,1,1,1,0.25,25,138,Main Gun
,1,0.2,0.4,23mm,,1.15,,,88128,,,,,,,,,,,,2100,1575,1750,2100,,,,,,,,,5769.23,NR-23,1.46,8.5,,,29,10,1,40,0.2,1,0.2,40,46,Autocannon
11,1,0.6,4,MMW,,1.15,,,122025,true,true,true,,true,,,,,,,2450,,,2450,,175,,,175,500,1.6,750,500,FGM-148 Javelin,2,5,,,400,2,15,2,4,1,0.1,400,150,ATGM
22,1,0.6,,Antiradar,,0.57,,,89315,,true,true,,true,,,true,,,,4200,,,4200,,875,,,875,2000,10,20000,2000,ALARM,2,5,,,10,2,2.2,2,0.4,1,0.6,3267,150,Anti-Radar
