HP,altitude,armors,autonomy,avail,cost,country,damageToStun,ecmModifier,fuelCapacity,inst_num,isAmphibious,isCV,isPrototype,isTransport,maxCards,maxSpeed,movementType,name,numWeapons,opticRangeAirborne_vsGround,opticRange_vsGround,opticRange_vsHeli,opticRange_vsPlane,opticRange_vsShip,opticStrengthSEAD_vsGround,opticStrength_vsAir,opticStrength_vsGround,opticStrength_vsShip,otanId,pactId,purple,roadSpeed,sailingSubType,sizeModifier,specs,stealth,tab,training,transporterOf,transports,turnData,upgradeRequireId,upgrades,verticalSpeed,weapon10_TAmmunition_ID,weapon10_ammoPool,weapon10_hasStab,weapon10_totalAmmo,weapon10_turret,weapon10_turretArc,weapon10_turretFacing,weapon10_turretSpeed,weapon10_turretType,weapon10_uiPosition,weapon1_TAmmunition_ID,weapon1_ammoPool,weapon1_hasStab,weapon1_totalAmmo,weapon1_turret,weapon1_turretArc,weapon1_turretFacing,weapon1_turretSpeed,weapon1_turretType,weapon1_uiPosition,weapon2_TAmmunition_ID,weapon2_ammoPool,weapon2_hasStab,weapon2_totalAmmo,weapon2_turret,weapon2_turretArc,weapon2_turretFacing,weapon2_turretSpeed,weapon2_turretType,weapon2_uiPosition,weapon3_TAmmunition_ID,weapon3_ammoPool,weapon3_hasStab,weapon3_totalAmmo,weapon3_turret,weapon3_turretArc,weapon3_turretFacing,weapon3_turretSpeed,weapon3_turretType,weapon3_uiPosition,weapon4_TAmmunition_ID,weapon4_ammoPool,weapon4_hasStab,weapon4_totalAmmo,weapon4_turret,weapon4_turretArc,weapon4_turretFacing,weapon4_turretSpeed,weapon4_turretType,weapon4_uiPosition,weapon5_TAmmunition_ID,weapon5_ammoPool,weapon5_hasStab,weapon5_totalAmmo,weapon5_turret,weapon5_turretArc,weapon5_turretFacing,weapon5_turretSpeed,weapon5_turretType,weapon5_uiPosition,weapon6_TAmmunition_ID,weapon6_ammoPool,weapon6_hasStab,weapon6_totalAmmo,weapon6_turret,weapon6_turretArc,weapon6_turretFacing,weapon6_turretSpeed,weapon6_turretType,weapon6_uiPosition,weapon7_TAmmunition_ID,weapon7_ammoPool,weapon7_hasStab,weapon7_totalAmmo,weapon7_turret,weapon7_turretArc,weapon7_turretFacing,weapon7_turretSpeed,weapon7_turretType,weapon7_uiPosition,weapon8_TAmmunition_ID,weapon8_ammoPool,weapon8_hasStab,weapon8_totalAmmo,weapon8_turret,weapon8_turretArc,weapon8_turretFacing,weapon8_turretSpeed,weapon8_turretType,weapon8_uiPosition,weapon9_TAmmunition_ID,weapon9_ammoPool,weapon9_hasStab,weapon9_totalAmmo,weapon9_turret,weapon9_turretArc,weapon9_turretFacing,weapon9_turretSpeed,weapon9_turretType,weapon9_uiPosition,year
10,,0.4|0.4|0.4|0.4,,0|0|12|8|0,25,ITA,300,,,19112,,,,,3,37.5,foot,MARÒ '90,4,,3500,4900,5600,14000,,40,80,80,1431,,,,,-0.15,MAR,2,INF,Shock,,19346|20132|20133|19263,,,,,,,,,,,,,,,83841,0,true,120,0,,,,infantry,0,83842,0,true,120,0,,,,infantry,0,83242,1,,6,1,,,,infantry,1,83836,2,true,180,1,,,,infantry,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990
10,,0.4|0.4|0.4|0.4,,0|20|16|0|0,10,YUG,300,,,19532,,,,,3,30,foot,MEHANIZOVANA PEŠ.,4,,3500,4900,5600,14000,,40,80,80,1251,929,true,,,-0.15,ARM|MEC|MOT|SUP,2,INF,Regular,,19985|19600|19601|18835|18836|18837,,,,,,,,,,,,,,,86018,0,true,80,0,,,,infantry,0,86019,0,true,80,0,,,,infantry,0,83697,1,,6,1,,,,infantry,1,82516,2,,100,1,,,,infantry,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975
10,,3|2|1|0.8,300,0|20|16|0|0,10,CHI,300,,400,20038,,,,,2,55,tracked,PGZ-63,2,,3500,4900,5600,14000,,40,60,60,,350,,110,,,ARM|MEC|MOT|SUP,1,VHC,,,,171.89,,,,,,,,,,,,,,88556,0,true,48,0,360|75|-10,,60,turret,0,88557,1,true,24,0,360|75|-10,,60,turret,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963
10,,0.8|0.8|0.8|0.8,supply,0|6|0|0|0,30,ITA,300,,1750,18984,,,,,2,90,wheeled,FIAT 6602 LOGISTICO,0,,3500,4900,5600,14000,,10,40,40,1410,,,150,,0.05,ARM|MEC|MOT|SUP,1,LOG,,,20269,229.18,19141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962
10,,2|2|1|1,480,24|20|16|12|8,15,ROK,300,,360,19713,true,,,true,3,70,tracked,KAFV 25,2,,3500,4900,5600,14000,,20,60,60,438,,,110,,,ARM|MEC,1,VHC,,19716|19708,,229.18,,19714,,,,,,,,,,,,82680,0,true,80,0,360|25|-10,,80,turret,0,82681,0,true,80,0,360|25|-10,,80,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984
10,,4|2|2|2,450,0|4|3|0|0,80,POL,300,,680,20162,,,true,,1,35,tracked,WZT-1 NEWA-SC,1,,3500,4900,10500,14000,,250,60,60,,703,,110,,0.05,ARM|MEC|SUP,1,SUP,,,20290,171.89,18634,19493,,,,,,,,,,,,85809,0,,4,0,360|45|-10,,60,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994
6,,0.8|0.8|0.8|0.8,550,0|6|4|0|0,60,CHI,300,,1000,20513,,,,,1,300,heli,SUPER PUMA PLAN,1,4900,3500,5600,5600,14000,,80,60,170,,652,,,,,MAR,1,NAV,,,,,,,60,,,,,,,,,,,90029,0,true,2,0,90|20|-30,,,fixed,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984
10,1250,0.6|0.6|0.6|0.6,180,2|0|0|0|1,180,URSS,300,-0.5,6000,20809,,,true,,2,1000,plane,Su-27PU,3,4900,3500,4900,31500,7000,,450,,60,,607,,,,,AIR|ARM|MAR|MEC|MOT|SUP,1,AIR,,,,300,20808,,,,,,,,,,,,,92828,0,true,60,0,16|8|-5,,,fixed,0,92829,2,true,4,1,120|60|-60,,,fixed,2,93213,3,true,6,2,80|30|-30,,,fixed,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996
10,,0.4|0.4|0.4|0.4,,0|20|16|0|0,15,JAP,300,,,19145,,,,,3,30,foot,SYOUJYŪ-BUNTAI '90,4,,3500,4900,5600,14000,,40,80,80,823,,,,,-0.15,AIR|ARM|MEC|MOT|SUP,2,INF,Regular,,19146|20021|20044|20075,,,,,,,,,,,,,,,84095,0,true,80,0,,,,infantry,0,84096,0,true,80,0,,,,infantry,0,81353,1,,6,1,,,,infantry,1,84097,2,,100,1,,,,infantry,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
10,,2|1|1|0.8,700,0|4|3|0|0,70,RFA,300,,1000,19338,,,,,2,50,tracked,PzH M110,2,,3500,4900,5600,14000,,10,40,40,276,,,110,,0.05,ARM|MEC|SUP,1,SUP,,,,286.48,,,,,,,,,,,,,,84308,0,,2,0,15|75|,,30,turret,0,84309,0,,2,0,15|75|,,30,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965
