AP,HE,accuracy,aimTime,caliber,corrShotMultiplier,dispersionAngle,dispersionMax,dispersionMin,inst_num,isCluster,isFireAndForget,isKEorHEAT,isMissile,isNapalm,isRadar,isSEAD,isSmoke,loadType,maxrangeDef,maxrangeGround,maxrangeHeli,maxrangePlane,maxrangeShip,minrangeDef,minrangeGround,minrangeHeli,minrangePlane,minrangeShip,missileAcceleration,missileCorrInterval,missileSpeedMax,muzzleVelocity,name,noiseMalus,radiusDamage,radiusNapalm,radiusSmoke,radiusSuppress,salvoLength,salvoReload,salvoVisAmmo,shotReload,simultShots,stabilizer,supplyPerShot,suppress,typeArme
2,1,0.4,0.2,70mm HEAT,,1.15,,,90174,,,HEAT,,,,,,,,2100,,,2100,,700,,,700,,,,3461.54,WDU-5002/B CRV7,1.466667,26.5,,,87.5,7,5,7,0.2,2,0.3,142,161,Rocket Pod
,1,0.3,1,7.62mm,,0.57,,,82708,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,TQBZ-56,1.762,3,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
,0.5,0.3,2,7.62mm,,0.57,,,83836,,,,,,,,,,,875,595,,875,,,,,,,,,3461.54,MG 42/59,2.25,3,,,50,20,5,200,0.8,1,0.15,20,55,SAW
,1,0.45,0.6,7.62mm,,0.57,,,82692,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,QBZ-81,1.762,3,,,10,6,4.5,60,2.2,1,0.23,6,40,Assault Rifles
11,1,0.4,1,115mm,,0.29,,,88019,,,KE,,,,,,,,1925,,,1925,,,,,,,,,3461.54,2A20,2.15,2.5,,,287.5,1,10,1,1,1,0.1,25,133,Main Gun
,4,0.7,1.4,125mm,,0.29,,,85756,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46M,2.25,47,,,156.5,28,6,28,6,1,0.65,700,144,Main Gun
20,8,0.5,4,Radar,,0.29,,,89624,,true,HEAT,true,,true,,,,,,,,5250,,,,,700,300,10,1500,300,P-15 Termit,2,200,,,400,1,10,1,3,1,0.5,250,,SSM
,1,0.15,1,23mm,,0.57,,,85883,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,AZP-23,1.46,8.5,,,29,2,1.2,15,0.8,1,0.05,15,46,Autocannon
19,1,0.65,1,120mm,,0.29,,,85287,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,M256,2.2,2.5,,,300,1,6.6,1,1,1,0.6,25,138,Main Gun
,2,0.7,1,84mm,,0.86,,,84043,,,,,,,,,,,875,,,875,,,,,,,,,2692.31,Carl Gustav M3,1.84,31.5,,,105,1,4,1,1,1,0.05,20,50,LAW
,1,0.3,1,5.56mm,,0.57,,,81783,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,M16,1.556,2.5,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
16,1,0.55,,84mm HEAT,,0.86,,,84194,,,HEAT,,,,,,,,700,,,700,,,,,,,,,769.23,PzF 44,2.68,2.5,,,210,1,6,1,1,1,0.05,20,336,LAW
,3,0.3,0.2,70mm,,1.15,,,92594,,,,,,,,,,,2450,,,2450,,700,,,700,,,,2307.69,M151 Hydra,1.466667,26.5,,,87.5,24,1,24,0.2,12,0.3,700,161,Rocket Pod
15,1,0.35,1,106mm HEAT,,0.57,,,83490,,,HEAT,,,,,,,,1750,,,1750,,,,,,,,,3461.54,M40A1 RR,2.06,2.5,,,265,1,8,1,1,1,0.05,20,122,Recoilless Rifle
,,,20,122mm,1,0.06,700,175,85852,,,,,,,,true,,,17500,,,17500,,3500,,,3500,,,,1057.69,M-21OF,1.81,73,,150,365,20,80,20,0.2,1,,200,,MLRS
21,1,0.6,1,120mm,,0.29,,,86550,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,BWK120,2.2,2,,,300,30,6,30,6,1,0.05,750,138,Main Gun
25,1,0.65,,SACLOS,,1.72,,,90168,,,HEAT,true,,,,,,,2625,,,2625,,175,,,175,500,1.7,1000,500,HOT 2,2,5,,,400,1,1,1,1,1,0.5,203,150,ATGM
,3,0.4,1.4,90mm,,0.29,,,86207,,,,,,,,,,,1925,,,1925,,,,,,,,,2692.31,D/925,1.9,34,,,112.5,1,8,1,1,1,0.05,15,104,Main Gun
,3,0.6,1.4,105mm,,0.29,,,87817,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,L/62,2.05,39.5,,,131.5,25,4,25,4,1,0.05,500,121,Main Gun
,3,0.5,1.4,105mm,,0.29,,,82911,,,,,,,,,,,2100,,,2100,,,,,,,,,2692.31,L7A3,2.05,39.5,,,131.5,4,12,4,4,1,0.35,80,121,Main Gun
,5,,8,120mm,,0.06,140,140,87599,,,,,,,,,,,7700,,,7700,,770,,,770,,,,826.92,PRAM vz.85,1.8,60,,,180,3,12,3,4,1,,120,265,Mortar
,1,0.6,0.6,9mm PB,,0.57,,,83936,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,MAB 38/49,1.9,3.5,,,10,6,3,60,1.5,1,0.3,6,30,SMG
10,1,0.4,1,100mm,,0.57,,,82899,,,KE,,,,,,,,1925,,,1925,,,,,,,,,3461.54,T69-II,2,2.5,,,250,1,7.5,1,1,1,0.15,20,115,Main Gun
,4,0.2,1,MCLOS,,0.57,,,84574,,,,true,,,,,,,,2100,1680,,,,,,,1000,10,5000,1000,Blowpipe,2,140,,,280,1,5,1,0.2,1,0.2,43,160,SAM
,0.5,0.2,2,7.62mm,,0.57,,,83854,,,,,,,,,,,875,595,,875,,87,,,87,,,,3461.54,MG 42/59,2.25,3,,,50,20,5,200,0.8,1,0.05,20,55,LMG
,3,0.5,1.4,105mm,,0.29,,,81544,,,,,,,,,,,2100,,,2100,,,,,,,,,2692.31,F1,2.05,39.5,,,131.5,1,6.6,1,1,1,0.05,20,121,Main Gun
,1,0.3,1,7.62mm,,0.57,,,81877,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,AKM,1.762,3,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
22,1,0.7,1,120mm,,0.29,,,84727,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,GIAT 120,2.2,2.5,,,300,22,5,22,5,1,0.7,550,138,Main Gun
,5,0.6,0.2,Radar,,0.57,,,93220,,true,,true,,true,,,,,,,7700,,,,,700,,1500,10,20000,1500,R-77 Vympel,2,175,,,350,2,2,2,0.4,1,0.6,2000,200,AAM
,9,0.6,0.2,SACLOS,,0.57,,,87031,,,,true,,,,,,,,2625,4200,,,,525,,,1250,10,15000,1250,V-600PT,2,315,,,630,4,30,4,1,1,0.45,702,360,SAM
,1,0.6,0.2,5.56mm,,0.57,,,83301,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,m/85,1.556,2.5,,,10,8,3,80,1.5,1,0.3,8,40,Assault Rifles
,4,0.5,0.2,Infrared,,0.57,,,93290,,true,,true,,,,,,,,2100,3850,,,,420,700,,2000,10,12500,2000,R.550 Magic II,2,140,,,280,1,2,1,2,1,0.5,500,160,AAM
16,1,0.6,1,105mm,,0.29,,,87816,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,L/62,2.05,2.5,,,262.5,25,4,25,4,1,0.05,500,121,Main Gun
25,1,0.5,,120mm HEAT,,0.86,,,84541,,,HEAT,,,,,,,,700,,,700,,,,,,,,,769.23,AT12T,3.4,2.5,,,300,1,3,1,1,1,0.05,20,480,LAW
23,1,0.65,1,125mm,,0.29,,,88230,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46M,2.25,2.5,,,312.5,24,6.6,24,6.6,1,0.55,600,144,Main Gun
,7,,30,127mm,1,0.06,700,175,89067,,,,,,,,,,,24500,,,24500,,4900,,,4900,,,,1057.69,FV2,1.85,77,,,381,24,144,24,0.6,1,,480,312,MLRS
15,1,0.3,1,106mm HEAT,,0.57,,,85495,,,HEAT,,,,,,,,1750,,,1750,,,,,,,,,3461.54,M40A1C RR,2.06,2.5,,,265,6,20,6,1,1,0.05,120,122,Recoilless Rifle
,3,0.5,1.4,115mm,,0.29,,,83115,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A20,2.15,43.5,,,144,1,10,1,1,1,0.25,25,133,Main Gun
21,1,0.65,1,120mm,,0.29,,,84818,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,L44,2.2,2.5,,,300,1,6.6,1,1,1,0.6,25,138,Main Gun
21,1,0.6,2,SALH,,0.86,,,84117,,,HEAT,true,,,,,,,2450,,,2450,,175,,,175,1000,1.6,1000,1000,Chu-MAT,2,5,,,400,1,5,1,1,1,0.1,147,150,ATGM
,5,0.5,1,Infrared,,0.57,,,88311,,true,,true,,,,,,,,3325,2625,,,,,,,2000,10,12500,2000,Tan SAM,2,175,,,350,4,20,4,3,1,0.5,340,200,SAM
,8,0.2,1,130mm,,0.29,,,89751,,,,,,,,,,2800,5075,2100,1400,5075,,,,,,,,,2692.31,Dual AK-130-MR,2.3,97.5,,,156.5,6,5,6,1,2,0.2,240,72,Naval Gun
,4,0.3,0.2,Infrared,,0.57,,,92994,,true,,true,,,,,,,,2100,3500,,,,420,700,,2000,10,9000,2000,AIM-9E,2,140,,,280,1,2,1,2,1,0.3,400,160,AAM
17,1,0.6,1,105mm,,0.29,,,89302,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,T83,2.05,2.5,,,262.5,1,6.6,1,1,1,0.45,20,121,Main Gun
,1,0.15,1,30mm,,0.11,,,85504,,,,,,,,,,,1050,2625,1750,1050,,,,,,,,,3461.54,PLDvK vz. 53/59,5.2,11.5,,,72.5,11,5,100,0.6,1,0.05,100,120,Twin Autocannon
,6,0.65,0.2,Radar,,0.57,,,81561,,,,true,,true,,,,,,2800,3500,,,,560,,,2000,10,9000,2000,Roland 3,2,210,,,420,2,10,2,1,1,0.65,216,240,SAM
,1,0.2,0.4,20mm,,1.15,,,91734,,,,,,,,,,,2100,1575,2100,2100,,,,,,,,,5769.23,Quad M39A2,1.4,7.5,,,25,15,1,136,0.2,1,0.2,68,40,Autocannon
,3,0.45,1.4,105mm,,0.29,,,83009,,,,,,,,,,,1925,,,1925,,,,,,,,,2692.31,L7,2.05,39.5,,,131.5,1,7.5,1,1,1,0.15,20,121,Main Gun
20,4,0.85,0.2,Radar,,0.29,,,81905,,true,HEAT,true,,,,,,,,,,5600,,,,,560,400,10,3000,400,Kh-31A,2,200,,,400,8,20,8,1,1,0.6,2000,,SSM
,1,0.2,1,7.62mm,,0.57,,,83143,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Gv M75,1.762,3,,,10,4,8,40,4,1,0.1,4,50,Battle Rifle
